frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
225, 14.9333, 0.575457, 0, 3.27708, -22.3629, 604.845, -10.5691, -35.4874, -20.611
226, 15, 0.599451, 0, 3.81969, -15.3949, 591.048, -9.33946, -35.4043, -18.2599
227, 15.0667, 0.598743, 0, 4.14738, -8.68915, 584.199, -7.04006, -33.8751, -15.4448
228, 15.1333, 0.764553, 1, 2.80011, -2.11886, 582.325, -6.18111, -32.7303, -13.9737
229, 15.2, 0.840597, 1, 0.307107, 10.1034, 536.105, 9.35591, -30.4063, -1.03552
230, 15.2667, 0.833715, 1, -1.64308, 17.1094, 568.147, 11.3672, -36.7761, 1.06214
231, 15.3333, 0.837206, 1, -6.57525, 23.2979, 580.789, 12.4721, -37.9429, 4.08499
232, 15.4, 0.8047, 1, -10.8175, 28.7438, 586.219, 12.7733, -37.6624, 5.97758
233, 15.4667, 0.762732, 1, -14.7066, 33.3554, 593.06, 14.1323, -38.0538, 8.00058
234, 15.5333, 0.78167, 1, -17.8346, 37.2716, 600.301, 14.8554, -36.4924, 9.43461
235, 15.6, 0.796721, 1, -22.1151, 40.5882, 610.004, 15.9891, -34.5134, 10.3606
236, 15.6667, 0.792672, 1, -26.693, 42.9752, 616.977, 16.3447, -33.1727, 10.7267
237, 15.7333, 0.958392, 1, -30.7238, 44.8535, 619.956, 17.7134, -31.203, 10.5579
238, 15.8, 0.965807, 1, -33.2414, 44.8282, 614.802, 20.6542, -28.1346, 11.0972
239, 15.8667, 0.965003, 1, -35.7216, 45.1619, 613.443, 21.6708, -26.2495, 11.3484
240, 15.9333, 0.969872, 1, -37.2027, 45.7887, 612.213, 22.0179, -25.2738, 11.393
241, 16, 0.970609, 1, -38.1657, 45.97, 610.752, 22.0701, -24.2782, 11.2103
242, 16.0667, 0.971405, 1, -38.7006, 46.1941, 608.755, 22.3381, -23.2484, 11.0863
243, 16.1333, 0.96935, 1, -39.148, 46.5987, 608.093, 22.5504, -22.5649, 11.0893
244, 16.2, 0.96735, 1, -39.4156, 47.2791, 606.911, 22.5784, -22.0145, 10.9092
245, 16.2667, 0.966237, 1, -39.6042, 47.6699, 605.586, 22.463, -21.5368, 10.7088
246, 16.3333, 0.966302, 1, -39.3028, 47.8721, 604.101, 22.487, -21.2258, 10.7244
247, 16.4, 0.968712, 1, -39.0244, 48.1454, 604.334, 22.5385, -20.977, 10.85
248, 16.4667, 0.965391, 1, -38.4379, 48.1623, 604.223, 22.6279, -21.0549, 10.9905
249, 16.5333, 0.963229, 1, -37.5149, 47.9588, 603.287, 22.4966, -21.0704, 11.2328
250, 16.6, 0.96445, 1, -37.0678, 47.7354, 604.172, 22.3814, -21.0593, 11.2214
251, 16.6667, 0.963045, 1, -36.7649, 46.8336, 602.886, 22.1777, -20.5943, 11.3343
252, 16.7333, 0.964174, 1, -37.6044, 45.3368, 601.526, 21.8236, -19.8456, 10.8757
253, 16.8, 0.949295, 1, -39.363, 42.7602, 593.981, 21.3142, -17.9107, 9.88716
254, 16.8667, 0.929893, 1, -41.8578, 40.6731, 589.286, 19.8914, -15.9385, 8.56002
255, 16.9333, 0.931426, 1, -45.0979, 39.1282, 591.416, 19.4038, -14.1409, 7.7318
256, 17, 0.931329, 1, -49.0315, 37.5611, 597.977, 18.8311, -11.6243, 6.79491
257, 17.0667, 0.940666, 1, -53.8215, 35.0623, 603.638, 16.8804, -8.36337, 6.23496
258, 17.1333, 0.950323, 1, -57.9987, 31.9169, 603.891, 15.5034, -5.94959, 5.5565
259, 17.2, 0.956751, 1, -61.1359, 28.5982, 601.395, 14.4082, -3.68415, 4.50373
260, 17.2667, 0.962472, 1, -62.4379, 24.9651, 593.613, 14.194, -1.28614, 3.55217
